,Airport,Type,City,Country,IATA,ICAO,FAA
19,Gap - Tallard,Small airport,Avignon,France,GAT,LFNA,
20,Lokpriya Gopinath Bordoloi International,Medium airport,Guwahati,India,GAU,VEGT,
21,Gag Island,Small airport,Gag Island,Indonesia,GAV,,
22,Gangaw,Small airport,Gangaw,Burma,GAW,VYGG,
23,Gamba,Small airport,Gamba,Gabon,GAX,,
24,Gaya,Medium airport,,India,GAY,VEGY,
25,Guasopa,Small airport,Woodlark (Muyua) Island,Papua New Guinea,GAZ,AYGJ,
26,Cotswold,Small airport,Kemble,United Kingdom,GBA,EGBP,
27,Gabala International,Medium airport,Gabala,Azerbaijan,GBB,UBBQ,
28,Gasuke,Small airport,Gasuke,Papua New Guinea,GBC,AYGS,
29,Great Bend Municipal,Small airport,Great Bend,United States,GBD,KGBD,GBD
30,Sir Seretse Khama International,Medium airport,Gaborone,Botswana,GBE,FBSK,
31,Negarbo(Negabo),Small airport,Negarbo,Papua New Guinea,GBF,AYNE,
32,Galesburg Municipal,Small airport,Galesburg,United States,GBG,KGBG,GBG
33,Galbraith Lake,Small airport,Galbraith Lake,United States,GBH,PAGB,GBH
34,Auxiliary Airfield,Small airport,Grand Bahama,Bahamas,GBI,MYGM,
35,Les Bases,Medium airport,Grand Bourg,Guadeloupe,GBJ,TFFM,
36,Gbangbatok,Small airport,Gbangbatok,Sierra Leone,GBK,GFGK,
37,South Goulburn Is,Small airport,,Australia,GBL,YGBI,
38,GarbahareyClosed,Closed,Garbaharey,Somalia,GBM,,
39,San Giovanni RotondoClosed,Closed,San Giovanni Rotondo,Italy,GBN,,
40,Baltimore Greenbelt TClosed,Closed,Baltimore,United States,GBO,,
41,Gamboola,Small airport,,Australia,GBP,YGAM,
42,Walter J. Koladza,Small airport,Great Barrington,United States,GBR,KGBR,GBR
43,Port FitzroyClosed,Closed,Port Fitzroy,New Zealand,GBS,,
44,Gorgan,Medium airport,Gorgan,Iran,GBT,OING,
45,Khashm El Girba,Small airport,Khashm El Girba,Sudan,GBU,HSKG,
46,Gibb River,Small airport,,Australia,GBV,YGIB,
47,Great Barrier Aerodrome,Small airport,Claris,New Zealand,GBZ,NZGB,
48,Guacamayas,Small airport,Guacamayas,Colombia,GCA,,
49,Gillette Campbell County,Medium airport,Gillette,United States,GCC,KGCC,GCC
50,Grand Coulee Dam,Small airport,Electric City,United States,GCD,3W7,3W7
51,Gachsaran,Medium airport,Gachsaran,Iran,GCH,OIAH,
52,Guernsey,Medium airport,Saint Peter Port,Guernsey,GCI,EGJB,
53,Grand Central,Medium airport,Midrand,South Africa,GCJ,FAGC,
54,Garden City Regional,Medium airport,Garden City,United States,GCK,KGCK,GCK
55,Owen Roberts International,Large airport,Georgetown,Cayman Islands,GCM,MWCR,
56,Grand Canyon National Park,Medium airport,Grand Canyon,United States,GCN,KGCN,GCN
57,Gravatai,Small airport,Gravatai,Brazil,GCV,,
58,Grand Canyon West,Small airport,Peach Springs,United States,GCW,K1G4,1G4
59,GoundaClosed,Closed,Gounda,Central African Republic,GDA,,
60,Donaldson Center,Small airport,Greenville,United States,GDC,KGYH,GYH
61,Gordon Downs,Small airport,Gordon Downs,Australia,GDD,YGDN,
62,Gode,Medium airport,Gode,Ethiopia,GDE,HAGO,
63,Magdagachi,Small airport,Magdagachi,Russia,GDG,UHBI,
64,Golden Horn Lodge,Seaplane base,Golden Horn Lodge,United States,GDH,3Z8,3Z8
65,Gordil,Small airport,Melle,Central African Republic,GDI,FEGL,
66,Gandajika,Small airport,Gandajika,Congo (Kinshasa),GDJ,FZWC,
67,Don Miguel Hidalgo Y Costilla International,Large airport,Guadalajara,Mexico,GDL,MMGL,
68,Gdańsk Lech Wałęsa,Large airport,Gdańsk,Poland,GDN,EPGD,
69,Guasdalito,Medium airport,,Venezuela,GDO,SVGD,
70,Guadalupe,Small airport,Guadalupe,Brazil,GDP,SNGD,
71,Gonder,Medium airport,Gondar,Ethiopia,GDQ,HAGN,
72,JAGS McCartney International,Medium airport,Cockburn Town,Turks and Caicos Islands,GDT,MBGT,
73,Dawson Community,Medium airport,Glendive,United States,GDV,KGDV,GDV
74,Gladwin Zettel Memorial,Small airport,Gladwin,United States,GDW,KGDW,GDW
75,Sokol,Medium airport,Magadan,Russia,GDX,UHMM,
76,Gelendzhik,Medium airport,Gelendzhik,Russia,GDZ,URKG,
77,Nouméa Magenta,Medium airport,Nouméa,New Caledonia,GEA,NWWM,
78,Gebe,Small airport,Gebe Island,Indonesia,GEB,WAMJ,
79,Geçitkale Air Base,Medium airport,Geçitkale,Cyprus,GEC,LCGK,
80,Sussex County,Small airport,Georgetown,United States,GED,KGED,GED
81,Georgetown (Tas),Small airport,,Australia,GEE,YGTO,
82,Geva,Small airport,Liangia,Solomon Islands,GEF,AGEV,
83,Spokane International,Large airport,Spokane,United States,GEG,KGEG,GEG
84,Green IslandsClosed,Closed,Green Islands,Papua New Guinea,GEI,,
85,Ganes CreekClosed,Closed,Ganes Creek,United States,GEK,,
86,Santo Ângelo,Medium airport,Santo Ângelo,Brazil,GEL,SBNM,
87,Cheddi Jagan International,Medium airport,Georgetown,Guyana,GEO,SYCJ,
88,Rafael Cabrera,Medium airport,Nueva Gerona,Cuba,GER,MUNG,
89,General Santos International,Medium airport,General Santos,Philippines,GES,RPMR,
90,Geraldton,Medium airport,Geraldton,Australia,GET,YGEL,
91,Gällivare,Medium airport,Gällivare,Sweden,GEV,ESNG,
92,Gewoia,Small airport,Gewoia,Papua New Guinea,GEW,AYGC,
93,GeelongClosed,Closed,,Australia,GEX,YGLG,
94,Grovedale,Small airport,,Australia,GEX,YGLG,
95,South Big Horn County,Small airport,Greybull,United States,GEY,KGEY,GEY
96,Malmstrom Air Force Base,Heliport,Great Falls,United States,GFA,KGFA,GFA
97,Togiak FishClosed,Closed,Togiak Fish,United States,GFB,,
98,Pope Field,Small airport,Greenfield,United States,GFD,KGFD,GFD
99,Grenfell,Small airport,Grenfell,Australia,GFE,YGNF,
0,Griffith,Medium airport,Griffith,Australia,GFF,YGTH,
1,Grand Forks International,Medium airport,Grand Forks,United States,GFK,KGFK,GFK
2,Floyd Bennett Memorial,Medium airport,Glens Falls,United States,GFL,KGFL,GFL
3,Grafton,Medium airport,,Australia,GFN,YGFN,
4,Bartica A,Small airport,Bartica,Guyana,GFO,SYBT,
5,Granville,Medium airport,Granville,France,GFR,LFRF,
6,Grootfontein,Medium airport,Grootfontein,Namibia,GFY,FYGF,
7,Gregory Downs,Small airport,,Australia,GGD,YGDS,
8,Georgetown County,Small airport,Georgetown,United States,GGE,KGGE,GGE
9,East Texas Regional,Medium airport,Longview,United States,GGG,KGGG,GGG
10,Gilgal,Small airport,Villa Claret,Colombia,GGL,,
11,Kakamega,Small airport,Kakamega,Kenya,GGM,HKKG,
12,Gagnoa,Small airport,Gagnoa,Côte d'Ivoire,GGN,DIGA,
13,Guiglo,Small airport,Guiglo,Côte d'Ivoire,GGO,DIGL,
14,GaroweClosed,Closed,Garowe,Somalia,GGR,,
15,Gobernador Gregores,Small airport,Gobernador Gregores,Argentina,GGS,SAWR,
16,Exuma International,Medium airport,George Town,Bahamas,GGT,MYEF,
17,Wokal Field Glasgow International,Medium airport,Glasgow,United States,GGW,KGGW,GGW
18,Noumérat - Moufdi Zakaria,Medium airport,Ghardaïa,Algeria,GHA,DAUG,
19,Governor's Harbour,Medium airport,Governor's Harbour,Bahamas,GHB,MYEM,
20,Great Harbour Cay,Medium airport,,Bahamas,GHC,MYBG,
21,GhimbiClosed,Closed,Ghimbi,Ethiopia,GHD,,
22,GarachinéClosed,Closed,Garachiné,Panama,GHE,,
23,Gush KatifClosed,Closed,Khan Yunis,Palestinian Territory,GHK,LLAZ,
24,Centerville Municipal,Small airport,Centerville,United States,GHM,KGHM,GHM
25,Guanghan,Small airport,Civil Aviation Flight University of China,China,GHN,ZUGH,
26,Ghat,Medium airport,Ghat,Libya,GHT,HLGT,
27,Gualeguaychu,Medium airport,Gualeguaychu,Argentina,GHU,SAAG,
28,Gibraltar,Medium airport,Gibraltar,Gibraltar,GIB,LXGB,
29,Boigu,Small airport,,Australia,GIC,YBOI,
30,Gitega,Small airport,Gitega,Burundi,GID,HBBE,
31,Winter Haven Municipal - Gilbert Field,Small airport,Winter Haven,United States,GIF,KGIF,GIF
32,Rio Galeão – Tom Jobim International,Large airport,Rio De Janeiro,Brazil,GIG,SBGL,
33,Siguiri,Small airport,Siguiri,Guinea,GII,GUSI,
34,Gilgit,Medium airport,Gilgit,Pakistan,GIL,OPGT,
35,Miele MimbaleClosed,Closed,Miele Mimbale,Gabon,GIM,,
36,Santiago Vila,Medium airport,Girardot,Colombia,GIR,SKGI,
37,Gisborne,Medium airport,Gisborne,New Zealand,GIS,NZGS,
38,Mchauru,Small airport,Geita,Tanzania,GIT,HTRU,
39,Sigiriya Air Force Base,Small airport,Sigiriya,Sri Lanka,GIU,VCCS,
40,Giyani,Small airport,Giyani,South Africa,GIY,FAGI,
41,Jizan Regional,Medium airport,Jizan,Saudi Arabia,GIZ,OEGN,
42,La Laguna,Medium airport,Guanaja,Honduras,GJA,MHNJ,
43,Jijel Ferhat Abbas,Medium airport,Jijel,Algeria,GJL,DAAV,
44,Guajará-Mirim,Medium airport,Guajará-Mirim,Brazil,GJM,SBGM,
45,Gjögur,Small airport,Gjögur,Iceland,GJR,BIGJ,
46,Grand Junction Regional,Medium airport,Grand Junction,United States,GJT,KGJT,GJT
47,Goroka,Medium airport,Goronka,Papua New Guinea,GKA,AYGA,
48,Imroz,Small airport,Gökçeada,Turkey,GKD,LTFK,
49,Geilenkirchen Air Base,Medium airport,,Germany,GKE,ETNG,
50,Palungtar,Small airport,Gorkha,Nepal,GKH,VNGK,
51,Kooddoo,Small airport,Huvadhu Atoll,Maldives,GKK,VRMO,
52,Great Keppel Is,Small airport,Great Keppel Island,Australia,GKL,YGKL,
53,Gulkana,Medium airport,Gulkana,United States,GKN,PAGK,GKN
54,KongoboumbaClosed,Closed,Kongoboumba,Gabon,GKO,,
55,Gatlinburg-Pigeon Forge,Small airport,Sevierville,United States,GKT,KGKT,GKT
56,Glasgow International,Large airport,Glasgow,United Kingdom,GLA,EGPF,
57,San Carlos Apache,Small airport,Globe,United States,GLB,P13,P13
58,Geladi,Small airport,Geladi,Ethiopia,GLC,HAGL,
59,Renner Field-Goodland Municipal,Medium airport,Goodland,United States,GLD,KGLD,GLD
60,Golfito,Medium airport,Golfito,Costa Rica,GLF,MRGF,
61,Glengyle,Small airport,,Australia,GLG,YGLE,
62,Mid Delta Regional,Medium airport,Greenville,United States,GLH,KGLH,GLH
63,Glen Innes,Medium airport,,Australia,GLI,YGLI,
64,La Jagua,Small airport,Garzón,Colombia,GLJ,SKGZ,
65,Galcaio,Small airport,Galcaio,Somalia,GLK,HCMR,
66,Gol,Small airport,Klanten flyplass,Norway,GLL,ENKL,
67,Glenormiston,Small airport,,Australia,GLM,YGLO,
68,Goulimime,Small airport,Goulimime,Morocco,GLN,GMAG,
69,Gloucestershire,Medium airport,Staverton,United Kingdom,GLO,EGBJ,
70,Gulgubip,Small airport,Gulgubip,Papua New Guinea,GLP,AYUP,
71,GlennallenClosed,Closed,Glennallen,United States,GLQ,,
72,Gaylord Regional,Small airport,Gaylord,United States,GLR,KGLR,GLR
73,Scholes International At Galveston,Medium airport,Galveston,United States,GLS,KGLS,GLS
74,Gladstone,Medium airport,Gladstone,Australia,GLT,YGLA,
75,Gelephu,Medium airport,Gelephu,Bhutan,GLU,VQGP,
76,Golovin,Small airport,Golovin,United States,GLV,PAGL,GLV
77,Gamarmalamo,Small airport,Galela-Celebes Island,Indonesia,GLX,WAMA,
78,GoldsworthyClosed,Closed,Goldsworthy,Australia,GLY,,
79,Gilze Rijen Air Base,Medium airport,Breda,Netherlands,GLZ,EHGR,
80,Gemena,Medium airport,Gemena,Congo (Kinshasa),GMA,FZFK,
81,Gambella,Medium airport,Gambela,Ethiopia,GMB,HAGM,
82,Guerima,Airport,Guerima,Colombia,GMC,,
83,Ben Slimane,Small airport,Ben Slimane,Morocco,GMD,GMMB,
84,Gomel,Medium airport,Gomel,Belarus,GME,UMGG,
85,Gasmata Island,Small airport,Gasmata Island,Papua New Guinea,GMI,AYGT,
86,Gostomel,Medium airport,Kiev,Ukraine,GML,UKKM,
87,Gamboma,Small airport,Gamboma,Congo (Brazzaville),GMM,FCOG,
88,Greymouth,Small airport,,New Zealand,GMN,NZGM,
89,Gombe Lawanti International,Medium airport,Gombe,Nigeria,GMO,DNGO,
90,Gimpo International,Large airport,Seoul,South Korea,GMP,RKSS,
91,Golog Maqin,Medium airport,Golog,China,GMQ,,
92,Totegegie,Medium airport,,French Polynesia,GMR,NTGJ,
93,Granite Mountain Air Station,Small airport,Granite Mountain,United States,GMT,PAGZ,GSZ
94,Greenville Downtown,Medium airport,Greenville,United States,GMU,KGMU,GMU
95,Monument Valley,Small airport,Goulding's Lodge,United States,GMV,UT25,UT25
96,RheindahlenClosed,Closed,Rheindahlen,Germany,GMY,,
97,La Gomera,Small airport,"Alajero, La Gomera Island",Spain,GMZ,GCGM,
98,Hrodna,Medium airport,Hrodna,Belarus,GNA,UMMG,
99,Grenoble-Isère,Medium airport,Grenoble/Saint-Geoirs,France,GNB,LFLS,
0,Point Salines International,Medium airport,Saint George's,Grenada,GND,TGPY,
1,GhentClosed,Closed,Ghent,Belgium,GNE,,
2,Gansner Field,Small airport,Quincy,United States,GNF,K2O1,2O1
3,Gooding Municipal,Small airport,Gooding,United States,GNG,KGNG,GNG
4,Lyudao,Small airport,Lyudao,Taiwan,GNI,RCGI,
5,Guanambi,Small airport,Guanambi,Brazil,GNM,SNGI,
6,Ghinnir,Small airport,Ghinnir,Ethiopia,GNN,HAGH,
7,Dr. Arturo H. Illia,Small airport,General Roca,Argentina,GNR,SAHR,
8,Binaka,Medium airport,Gunung Sitoli-Nias Island,Indonesia,GNS,WIMB,
9,Grants-Milan Municipal,Small airport,Grants,United States,GNT,KGNT,GNT
10,Goodnews,Small airport,Goodnews,United States,GNU,GNU,GNU
11,Gainesville Regional,Medium airport,Gainesville,United States,GNV,KGNV,GNV
12,Şanlıurfa GAP,Medium airport,Şanlıurfa,Turkey,GNY,LTCS,
13,Ghanzi,Small airport,Ghanzi,Botswana,GNZ,FBGZ,
14,Genoa Cristoforo Colombo,Large airport,Genova,Italy,GOA,LIMJ,
15,Robe,Small airport,Goba,Ethiopia,GOB,HAGB,
16,Gora Airstrip,Small airport,Gora,Papua New Guinea,GOC,AYGX,
17,Gonaili,Small airport,Gonaili,Papua New Guinea,GOE,AYGL,
18,Goodfellow AFBClosed,Closed,San Angelo,United States,GOF,,
19,Gobabis,Small airport,Gobabis,Namibia,GOG,FYGB,
20,Godthaab / Nuuk,Medium airport,Nuuk,Greenland,GOH,BGGH,
21,Dabolim,Large airport,Vasco da Gama,India,GOI,VOGO,
22,Nizhny Novgorod Strigino International,Medium airport,Nizhny Novgorod,Russia,GOJ,UWGG,
23,Guthrie-Edmond Regional,Small airport,Guthrie,United States,GOK,KGOK,GOK
24,Goma International,Medium airport,Goma,Congo (Kinshasa),GOM,FZNA,
25,Groton New London,Medium airport,Groton (New London),United States,GON,KGON,GON
26,Goondiwindi,Small airport,,Australia,GOO,YGDI,
27,Gorakhpur,Medium airport,Gorakhpur,India,GOP,VEGK,
28,Golmud,Medium airport,Golmud,China,GOQ,ZLGM,
29,Gore,Small airport,Gore,Ethiopia,GOR,HAGR,
30,GosfordClosed,Closed,Gosford,Australia,GOS,,
31,Gothenburg-Landvetter,Large airport,Gothenburg,Sweden,GOT,ESGG,
32,Garoua International,Medium airport,Garoua,Cameroon,GOU,FKKR,
33,Gove,Medium airport,Nhulunbuy,Australia,GOV,YPGV,
34,Gorna Oryahovitsa,Medium airport,Gorna Oryahovitsa,Bulgaria,GOZ,LBGO,
35,Araxos,Medium airport,Patras,Greece,GPA,LGRX,
36,Tancredo Thomas de Faria,Small airport,Guarapuava,Brazil,GPB,SBGU,
37,Mount Gordon,Small airport,Mount Gordon Mine,Australia,GPD,YGON,
38,Juan Casiano,Medium airport,Guapi,Colombia,GPI,SKGP,
39,Guapiles,Medium airport,Pococi,Costa Rica,GPL,MRGP,
40,Garden Point,Medium airport,,Australia,GPN,YGPT,
41,General Pico,Medium airport,General Pico,Argentina,GPO,SAZG,
42,Seymour,Small airport,Baltra,Ecuador,GPS,SEGS,
43,Gulfport Biloxi International,Large airport,Gulfport,United States,GPT,KGPT,GPT
44,Grand Rapids Itasca Co-Gordon Newstrom field,Small airport,Grand Rapids,United States,GPZ,KGPZ,GPZ
45,Galion Municipal,Small airport,Galion,United States,GQQ,KGQQ,GQQ
46,GamarraClosed,Closed,Gamarra,Colombia,GRA,,
47,Austin Straubel International,Large airport,Green Bay,United States,GRB,KGRB,GRB
48,Grand CessClosed,Closed,Grand Cess,Liberia,GRC,,
49,Greenwood County,Small airport,Greenwood,United States,GRD,KGRD,GRD
50,Gray Army Air Field,Medium airport,Fort Lewis/Tacoma,United States,GRF,KGRF,GRF
51,Gardez,Small airport,Gardez,Afghanistan,GRG,OAGZ,
52,GaruahiClosed,Closed,Garuahi,Papua New Guinea,GRH,,
53,Central Nebraska Regional,Medium airport,Grand Island,United States,GRI,KGRI,GRI
54,George,Large airport,George,South Africa,GRJ,FAGG,
55,Robert Gray  Army Air Field,Medium airport,Fort Hood/Killeen,United States,GRK,KGRK,GRK
56,Garasa,Small airport,Au,Papua New Guinea,GRL,AYGG,
57,Grand Marais Cook County,Small airport,Grand Marais,United States,GRM,KCKC,CKC
58,Gordon Municipal,Small airport,Gordon,United States,GRN,KGRN,GRN
59,Girona,Medium airport,Girona,Spain,GRO,LEGE,
60,Gurupi,Small airport,Gurupi,Brazil,GRP,SWGI,
61,Eelde,Medium airport,Groningen,Netherlands,GRQ,EHGG,
62,Gerald R. Ford International,Medium airport,Grand Rapids,United States,GRR,KGRR,GRR
63,Grosseto Air Base,Medium airport,Grosetto,Italy,GRS,LIRS,
64,Gujrat,Small airport,Gujrat,Pakistan,GRT,,
65,Guarulhos - Governador André Franco Montoro International,Large airport,São Paulo,Brazil,GRU,SBGR,
66,Grozny North,Large airport,Grozny,Russia,GRV,URMG,
67,Graciosa,Medium airport,Santa Cruz da Graciosa,Portugal,GRW,LPGR,
68,Federico Garcia Lorca,Medium airport,Granada,Spain,GRX,LEGR,
69,Grímsey,Small airport,Grímsey,Iceland,GRY,BIGR,
70,Graz,Medium airport,Graz,Austria,GRZ,LOWG,
71,Long Pasia,Small airport,Long Miau,Malaysia,GSA,WBKN,
72,Seymour Johnson Air Force Base,Large airport,Goldsboro,United States,GSB,KGSB,GSB
73,Gascoyne Junction,Small airport,Gascoyne Junction,Australia,GSC,YGSC,
74,Gothenburg City,Medium airport,Gothenburg,Sweden,GSE,ESGP,
75,Goshen Municipal,Small airport,Goshen,United States,GSH,KGSH,GSH
76,Grand-Santi,Small airport,Grand-Santi,Solomon Islands,GSI,SOGS,
77,San José,Medium airport,Puerto San José,Guatemala,GSJ,MGSJ,
78,Gheshm,Small airport,Gheshm,Iran,GSM,OIKQ,
79,Mount Gunson,Small airport,Mount Gunson,Australia,GSN,YMGN,
80,Piedmont Triad International,Large airport,Greensboro,United States,GSO,KGSO,GSO
81,Greenville Spartanburg International,Large airport,Greenville,United States,GSP,KGSP,GSP
82,Shark El Oweinat International,Small airport,,Egypt,GSQ,HEOW,
83,Gardo,Small airport,Gardo,Somalia,GSR,HCMG,
84,Sabi Sabi,Small airport,Belfast,South Africa,GSS,FASE,
85,Gustavus,Medium airport,Gustavus,United States,GST,PAGS,GST
86,Azaza,Small airport,Gedaref,Sudan,GSU,HSGF,
87,Greater Southwest International-Amon Carter FieldClosed,Closed,Fort Worth,United States,GSW,KGSW,
88,Binbrook AirfieldClosed,Closed,Grimsby,United Kingdom,GSY,EGXB,
89,Gatokae,Small airport,Gatokae,Solomon Islands,GTA,AGOK,
90,GentingClosed,Closed,Genting,Malaysia,GTB,,
91,Green TurtleClosed,Closed,Green Turtle,Bahamas,GTC,,
92,Groote Eylandt,Medium airport,Groote Eylandt,Australia,GTE,YGTE,
93,Great Falls International,Medium airport,Great Falls,United States,GTF,KGTF,GTF
94,Rügen,Small airport,Rügen,Germany,GTI,EDCG,
95,Sungei Tekai,Small airport,Sungei Tekai,Malaysia,GTK,,
96,Glentanner,Medium airport,Glentanner Station,New Zealand,GTN,NZGT,
97,Jalaluddin,Small airport,Gorontalo-Celebes Island,Indonesia,GTO,WAMG,
98,Grants Pass,Small airport,Grants Pass,United States,GTP,KSXT,3S8
99,Golden Triangle Regional,Medium airport,Columbus/W Point/Starkville,United States,GTR,KGTR,GTR
0,Granite Downs,Small airport,,Australia,GTS,YGDW,
1,Georgetown,Small airport,,Australia,GTT,YGTN,
2,HolešovClosed,Closed,Holešov,Czechia,GTW,LKHO,
3,Gettysburg Regional,Small airport,Gettysburg,United States,GTY,W05,W05
4,Kirawira B Aerodrome,Small airport,Grumeti Game Reserve,Tanzania,GTZ,HTGR,
5,La Aurora,Medium airport,Guatemala City,Guatemala,GUA,MGGT,
6,Guerrero Negro,Small airport,Guerrero Negro,Mexico,GUB,MMGR,
7,Gunnison Crested Butte Regional,Small airport,Gunnison,United States,GUC,KGUC,GUC
8,Goundam,Small airport,Goundam,Mali,GUD,GAGM,
9,Guriaso (Keraso)Closed,Closed,Guriaso,Papua New Guinea,GUE,,
10,Jack Edwards,Small airport,Gulf Shores,United States,GUF,KJKA,JKA
11,Guari,Small airport,Guari,Papua New Guinea,GUG,AYGF,
12,Gunnedah,Medium airport,,Australia,GUH,YGDH,
